fid,Артикул,Название товара,Полное описание,Производитель,Цена продажи,Цена старая,Остаток,Изображения,Url,Подкатегория 1,ID товара в InSales,ID варианта товара в InSales
1,26044-5,Смеситель для кухонной мойки KAISER Merkur (26044-5),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Merkur 26044-5 Смеситель для кухни под фильтр серебро (матовый)**

- Конструкция: однорычажный
- Излив: поворотный
- Форма излива: Г-образная
- Длина излива: 246 мм
- Высота до аэратора: 298 мм
- Высоты до крайней точки: 332 мм
- Материал: латунь
- Цвет: серебро",KAISER,10190.0,0.0,0,https://static-ru.insales.ru/images/products/1/4582/486216166/medium_31274790-1.jpg https://static-ru.insales.ru/images/products/1/4584/486216168/medium_31274790-2.jpg,https://santitan.ru/product_by_id/269460587,Wildberries WB,269460587,467761459
2,68055,Смеситель для ванны Kaiser Guss 68055,"**KAISER Guss 68055 Сhrome Смеситель для ванны со встроенным переключателем Хром**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Тип: однорычажный
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Длина излива (мм): 395.",KAISER,8340.0,0.0,5,https://static-ru.insales.ru/images/products/1/4544/486216128/medium_31215475-1.jpg https://static-ru.insales.ru/images/products/1/4545/486216129/medium_31215475-2.jpg,https://santitan.ru/product_by_id/269460590,Wildberries WB,269460590,467761465
3,Gely1-1g,My Clarins Освежающий гель для кожи вокруг глаз с роликовым аппликатором,"Освежающий гель моментально делает менее заметными темные круги и отеки, придавая глазам отдохнувший вид. Ухаживающая формула на основе эсцинов конского каштана и растительного кофеина увлажняет кожу вокруг глаз, способствует сокращению следов усталости и придает взгляду сияние.
Гелевая текстура моментально освежает область вокруг глаз, а металлический роликовый аппликатор разглаживает кожу и оказывает дренирующее действие.
Для наилучшего эффекта храните средство в холодильнике.",My Clarins,1550.0,0.0,0,https://static-ru.insales.ru/images/products/1/4514/486216098/medium_30983398-1.jpg https://static-ru.insales.ru/images/products/1/4515/486216099/medium_30983398-2.jpg https://static-ru.insales.ru/images/products/1/4516/486216100/medium_30983398-3.jpg https://static-ru.insales.ru/images/products/1/4517/486216101/medium_30983398-4.jpg,https://santitan.ru/product_by_id/269460592,Wildberries WB,269460592,467761473
4,Lisaura_k,Капсульный кофе Cafe Venezia Lisaura,"Кофейная смесь Lisaura производится путем смешивания двух сортов кофе арабика (Бразилия и Колумбия), обеспечивающие хороший аромат кофе и его превосходную стойкость, а также робусты индийской вишни, которая отвечает за его тело. Смесь типично венецианская: превосходная ароматичность и стойкость, идеальный крем и мягкое тело ... все, что вам следует ожидать от настоящего итальянского эспрессо. Обжаривание поддерживают на среднем уровне, чтобы подсластить профиль продукта и сохранить приятную и сбалансированную кислотность арабики.",Cafe Venezia,811.0,0.0,0,https://static-ru.insales.ru/images/products/1/4632/486216216/medium_37631601-1.jpg,https://santitan.ru/product_by_id/269460593,Wildberries WB,269460593,467761480
5,31333-9,Смеситель для кухонной мойки KAISER Vincent (31333-9),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

**KAISER Vincent 31333-9 Black Satin Смеситель для кухни Черный**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: черный матовый
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,7440.0,0.0,5,https://static-ru.insales.ru/images/products/1/4609/486216193/medium_31274860-1.jpg https://static-ru.insales.ru/images/products/1/4611/486216195/medium_31274860-2.jpg,https://santitan.ru/product_by_id/269460595,Wildberries WB,269460595,467761486
6,34144,Смеситель для кухонной мойки KAISER Sonat (34144),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

Смеситель для кухонной мойки KAISER Sonat (34144)

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,5960.0,0.0,5,https://static-ru.insales.ru/images/products/1/4612/486216196/medium_31274861-1.jpg https://static-ru.insales.ru/images/products/1/4613/486216197/medium_31274861-2.jpg,https://santitan.ru/product_by_id/269460598,Wildberries WB,269460598,467761495
7,17233,Смеситель для кухонной мойки KAISER Topaz (17233),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

Смеситель для кухонной мойки KAISER Topaz (17233)

- Тип: двухзахватный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,3530.0,0.0,5,https://static-ru.insales.ru/images/products/1/4614/486216198/medium_31274862-1.jpg https://static-ru.insales.ru/images/products/1/4615/486216199/medium_31274862-2.jpg,https://santitan.ru/product_by_id/269460599,Wildberries WB,269460599,467761502
8,95213-1,Сумка/Сумки женские Сумки через плечо Маленькие женские сумки,"Женская сумка черная из искусственной кожи через плечо будет прекрасным дополнением к любому образу. В ней могут разместиться не только ключи и кошелек, но и найдут место множество нужных вещей, так необходимых каждой девушке или женщине. Вы можете подарить эту сумку себе или купить в подарок подруге или сестре. Несмотря на небольшой размер, она очень функциональна. Внутри 4 отделения, одно из которых закрывается на молнию. Два кармана внутри, сзади карман под молнией. В комплекте короткий и регулируемый по длине наплечный ремень.",Ingruel,1590.0,0.0,0,https://static-ru.insales.ru/images/products/1/4634/486216218/medium_41300233-1.jpg https://static-ru.insales.ru/images/products/1/4635/486216219/medium_41300233-2.jpg https://static-ru.insales.ru/images/products/1/4637/486216221/medium_41300233-3.jpg https://static-ru.insales.ru/images/products/1/4638/486216222/medium_41300233-4.jpg https://static-ru.insales.ru/images/products/1/4639/486216223/medium_41300233-5.jpg https://static-ru.insales.ru/images/products/1/4640/486216224/medium_41300233-6.jpg https://static-ru.insales.ru/images/products/1/4641/486216225/medium_41300233-7.jpg,https://santitan.ru/product_by_id/269460601,Wildberries WB,269460601,467761508
9,26044-7,"Смеситель для кухни (мойки) KAISER Merkur 26044-7 под фильтр Ora, бежевый мрамор","Смеситель для кухонной мойки KAISER Merkur (26044-7) **под фильтр бежевый**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Конструкция: однорычажный
- Излив: поворотный
- Форма излива: Г-образная
- Длина излива: 246 мм
- Высота до аэратора: 298 мм
- Высоты до крайней точки: 332 мм
- Материал: латунь
- Цвет: **бежевый**",KAISER,9720.0,0.0,5,https://static-ru.insales.ru/images/products/1/4546/486216130/medium_31274672-1.jpg https://static-ru.insales.ru/images/products/1/4547/486216131/medium_31274672-2.jpg,https://santitan.ru/product_by_id/269460603,Wildberries WB,269460603,467761511
10,26744-9,"Смеситель для кухни (мойки) KAISER Merkur (26744-9) высокий излив, черный","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

Смеситель для кухонной мойки KAISER Merkur (26744-9) с подключением к фильтру",KAISER,8560.0,0.0,5,https://static-ru.insales.ru/images/products/1/4548/486216132/medium_31274690-1.jpg https://static-ru.insales.ru/images/products/1/4549/486216133/medium_31274690-2.jpg,https://santitan.ru/product_by_id/269460606,Wildberries WB,269460606,467761520
